id,alt
1,727
2,731
4,731
6,785
7,802
9,727
10,729
12,729
13,729
15,726
16,726
18,727
19,725
21,728
22,728
24,728
25,729
27,728
28,731
30,727
31,727
33,728
34,730
36,726
37,724
39,726
40,727
42,723
43,723
45,723
46,723
48,724
49,724
51,735
52,729
55,726
56,726
58,725
59,725
61,730
62,730
64,730
65,729
67,732
68,724
70,726
71,726
73,725
74,726
76,728
77,729
79,719
80,723
82,724
83,724
85,719
86,719
88,730
89,725
91,734
92,729
94,727
95,728
97,731
98,733
100,728
101,729
103,726
104,727
106,724
107,718
109,728
110,727
112,733
113,732
115,728
116,728
118,734
119,734
121,734
122,734
124,726
125,723
127,727
128,730
130,730
131,730
133,788
134,788
136,753
137,753
139,773
140,771
142,788
143,788
145,781
146,775
148,772
149,772
151,771
152,771
154,774
155,774
157,771
158,768
160,771
162,789
163,783
165,749
166,750
168,766
169,772
171,789
172,790
174,745
175,745
177,752
178,748
180,739
181,739
183,742
184,742
186,745
187,745
189,737
190,737
192,739
193,739
195,732
196,730
198,729
199,728
201,739
202,739
204,729
205,729
207,733
208,733
210,725
211,725
213,728
214,728
216,745
217,743
219,735
220,735
222,737
223,737
225,735
227,772
228,772
230,759
231,761
233,725
234,729
236,735
238,727
239,727
241,721
242,721
244,723
245,723
247,723
248,726
250,739
251,739
253,747
254,747
256,753
257,750
259,795
260,802
262,759
263,754
265,730
266,731
268,754
269,759
271,759
272,760
274,761
275,761
277,761
279,763
280,763
282,769
283,769
285,764
286,764
288,765
289,760
291,734
293,724
294,729
296,817
297,817
299,723
300,724
302,729
303,729
305,724
307,790
308,793
311,753
312,757
315,744
316,743
318,748
319,748
321,753
323,743
324,743
326,741
327,741
329,750
330,750
332,742
333,742
335,742
336,742
338,743
340,755
341,755
343,743
344,743
346,728
347,733
349,763
350,763
352,728
353,730
355,746
356,744
358,743
359,743
361,742
362,742
364,747
365,744
367,756
368,752
370,749
371,749
373,744
374,744
376,738
377,736
379,739
380,739
382,750
383,750
385,749
386,749
388,784
389,779
391,760
392,761
394,751
395,751
397,803
398,807
400,724
401,724
403,724
404,724
406,727
407,727
409,755
410,755
412,732
413,732
415,731
416,728
418,730
419,730
421,730
422,730
424,730
425,730
427,780
428,792
430,787
431,782
433,745
434,751
436,736
437,736
439,825
440,815
442,845
443,801
445,757
446,756
448,783
449,773
451,783
452,770
454,824
455,821
457,742
458,742
460,764
461,764
463,835
464,835
467,820
468,799
470,785
471,786
473,789
474,787
476,820
478,814
479,814
481,761
482,762
484,795
485,809
487,819
488,810
490,825
491,800
493,770
494,770
496,794
497,794
499,763
500,763
502,783
503,751
505,774
506,777
508,728
510,758
511,758
513,822
514,841
516,851
517,849
519,943
520,934
522,899
523,930
525,945
526,954
528,736
529,737
531,728
532,728
534,725
535,727
537,733
538,733
540,731
542,728
543,728
545,729
546,729
548,725
549,730
551,725
552,725
554,723
555,723
557,723
558,721
560,719
561,722
563,725
564,722
566,724
567,724
569,723
570,726
572,725
573,733
575,725
576,725
578,733
579,732
581,766
582,757
584,727
585,727
587,759
588,759
590,760
591,771
593,795
594,795
596,768
597,763
599,760
600,760
602,769
603,769
605,762
606,755
609,762
611,760
612,757
614,763
615,760
617,760
618,760
620,749
621,749
623,731
624,731
626,743
627,743
629,809
630,807
632,813
633,813
635,761
636,766
638,755
639,755
641,746
642,746
644,736
645,736
647,736
648,736
650,736
651,729
653,745
654,750
656,828
657,828
659,766
660,766
663,736
664,736
666,755
667,755
669,735
670,737
672,750
673,750
675,736
676,736
679,740
680,740
682,740
683,740
685,737
686,736
688,736
689,736
691,737
693,734
694,734
696,737
697,737
699,735
700,733
702,762
703,762
706,762
707,760
709,794
710,794
713,762
716,762
717,762
719,801
720,801
723,756
724,756
726,762
727,762
729,804
730,804
732,746
733,746
735,763
736,763
739,761
740,761
743,735
744,735
746,740
747,740
749,731
750,732
752,733
753,741
755,736
756,736
758,740
759,740
761,730
763,739
764,728
766,744
767,747
769,730
770,730
772,734
773,739
775,746
776,746
778,751
779,751
781,733
782,733
784,729
785,729
787,764
788,769
790,784
791,784
793,727
794,727
796,731
797,731
799,728
800,728
802,728
803,728
805,731
806,731
808,743
809,760
811,733
812,740
814,727
815,727
817,725
818,729
820,731
822,728
823,728
825,737
826,737
828,736
829,736
831,743
832,743
834,747
835,747
838,747
839,747
842,747
843,747
846,747
847,747
850,747
851,750
854,748
855,750
858,748
859,749
862,751
863,754
866,754
869,747
870,747
873,748
874,748
877,799
878,797
881,749
882,749
885,762
888,756
889,772
892,756
893,758
895,757
896,756
898,763
901,758
902,758
905,820
906,820
909,801
910,801
913,798
914,798
917,784
918,784
921,802
922,801
925,786
926,806
929,792
930,792
933,801
934,787
937,802
938,802
941,792
944,809
945,809
948,821
949,821
952,773
953,777
956,764
957,766
960,758
961,758
964,773
965,773
967,746
968,746
970,763
971,763
973,743
974,743
976,764
977,764
979,731
980,731
982,746
984,763
985,763
988,743
989,743
991,747
992,747
994,768
996,774
997,773
999,776
1000,773
1003,786
1004,786
1007,782
1008,787
1011,774
1012,774
1015,760
1016,760
1019,770
1020,770
1023,787
1024,787
1027,806
1028,806
1031,827
1032,821
1035,811
1036,811
1039,814
1042,815
1043,815
1046,743
1047,743
1049,748
1050,748
1053,765
1054,765
1057,833
1058,833
1061,751
1064,751
1065,751
1068,807
1069,807
1072,761
1073,749
1076,788
1077,788
1080,791
1081,791
1084,761
1087,770
1088,753
1091,754
1092,754
1095,746
1096,746
1099,770
1100,770
1103,791
1104,791
1107,788
1110,789
1111,789
1114,743
1115,742
1118,750
1119,748
1122,755
1123,762
1126,812
1127,812
1130,790
1131,796
1134,813
1135,804
1138,808
1139,808
1142,797
1143,797
1146,786
1147,786
1149,757
1152,770
1153,769
1156,788
1159,769
1162,786
1163,795
1166,774
1167,789
1170,776
1171,776
1174,790
1175,790
1177,794
1178,800
1180,799
1181,799
1184,807
1185,807
1187,814
1188,826
1191,823
1192,823
1195,824
1198,818
1199,818
1202,802
1203,795
1206,765
1207,773
1209,761
1210,761
1212,780
1215,788
1216,788
1218,773
1219,773
1221,780
1222,780
1224,817
1225,817
1228,780
1229,780
1232,825
1233,825
1236,813
1237,813
1240,813
1243,817
1244,808
1247,742
1248,748
1251,753
1252,751
1254,744
1255,748
1257,753
1258,760
1261,742
1264,762
1265,762
1267,794
1268,793
1271,777
1272,777
1275,744
1276,744
1279,743
1280,743
1282,748
1283,748
1286,743
1287,745
1290,743
1291,743
1293,768
1294,766
1296,748
1299,746
1300,745
1303,744
1304,747
1307,743
1308,743
1310,747
1311,747
1314,747
1317,747
1318,743
1321,772
1322,772
1325,753
1326,760
